cuisine,meal,full_name,ingredients,weights_g
African Foods,Millet and Spinach Stew,Millet and Spinach Stew (African Foods),Low-protein flour|Spinach|Onion|Oil,200.0|100.0|30.0|20.0
African Foods,Porridge with Baobab,Porridge with Baobab (African Foods),Low-protein flour|Baobab fruit powder|Water,300.0|30.0|20.0
African Foods,Plantain and Tomato Salad,Plantain and Tomato Salad (African Foods),Plantain|Tomato|Lemon juice,150.0|70.0|30.0
African Foods,Cassava Leaf and Pumpkin Soup,Cassava Leaf and Pumpkin Soup (African Foods),Cassava leaves|Pumpkin|Onion|Palm oil,200.0|100.0|30.0|20.0
African Foods,Roasted Maize with Chili,Roasted Maize with Chili (African Foods),Maize|Chili|Salt,230.0|10.0|10.0
African Foods,Okra and Eggplant Stew,Okra and Eggplant Stew (African Foods),Okra|Eggplant|Tomato|Oil,200.0|100.0|30.0|20.0
African Foods,Sweet Potato and Peanut Soup (using low-protein peanut substitute),Sweet Potato and Peanut Soup (using low-protein peanut substitute) (African Foods),Sweet potato|Low-protein peanut substitute|Tomato|Oil,250.0|30.0|40.0|30.0
African Foods,Steamed Waterleaf with Tomatoes,Steamed Waterleaf with Tomatoes (African Foods),Waterleaf|Tomato|Oil,250.0|30.0|20.0
African Foods,Millet Flatbread with Veggies,Millet Flatbread with Veggies (African Foods),Low-protein flour|Mixed vegetables|Water|Oil,200.0|30.0|20.0|20.0
Central European Foods,Potato Salad,Potato Salad (Central European Foods),"Potatoes|onions, raws, raw|Vinegar/oil dressing|Vegetable broth|Parsley|Salt and Pepper",680.0|75.0|51.0|100.0|3.0|4.0
Central European Foods,Vegetable Stew,Vegetable Stew (Central European Foods),"Grapeseed Oil|Lard|Paprika|Water|Rice|onions, raws, raw|Green Bell Peppers|Tomato|Salt and Pepper",28.0|26.0|14.0|79.0|93.0|150.0|450.0|360.0|6.0
Central European Foods,Asparagus with Potatoes,Asparagus with Potatoes (Central European Foods),"Asparagus raw|Unsalted Butter|Potatoes|Olive Oil|Salt and Pepper|onions, raws, raw",600.0|5.0|750.0|2.0|6.0|80.0
Central European Foods,Potato goulash,Potato goulash (Central European Foods),"Potatoes|onions, raws, raw|Paprika|Cumin|Tomato Puree|Vegetable Broth|Baker's yeast",700.0|150.0|4.2|1.0|30.0|240.0|8.0
Central European Foods,Vegetable Soup,Vegetable Soup (Central European Foods),"Vegetable Broth|Raw raw turnips|Leek|Carrots|celery, raw, raw|Garlic|Shallots, chopped|Potatoes|Olive Oil|Dried Oregano|Salt and Pepper|Bay Leaf|Parsley",950.0|150.0|90.0|120.0|40.0|3.0|30.0|200.0|13.5|0.5|1.0|0.2|4.0
Central European Foods,Carrot and apples Salad,Carrot and apples Salad (Central European Foods),Carrots|apples|Lemon Juice|Olive Oil|Salt|Sugar (table),400.0|300.0|30.0|30.0|5.0|15.0
Central European Foods,Braised Red Cabbage,Braised Red Cabbage (Central European Foods),"Red Cabbage, raw|apples|Vinegar/oil dressing|Olive Oil|Sugar (table)|Salt|Caraway Seeds",500.0|200.0|80.0|60.0|80.0|5.0|2.0
Central European Foods,cucumber fresh dill Salad,cucumber fresh dill Salad (Central European Foods),cucumber|fresh dill|Vinegar/oil dressing|Salt|Olive Oil,500.0|10.0|80.0|5.0|125.0
Central European Foods,Beet and Horseradish Slaw,Beet and Horseradish Slaw (Central European Foods),Red Red beets|Horseradish|Lemon Juice|Salt|Olive Oil,400.0|30.0|30.0|5.0|225.0
Central European Foods,"Potato and celery, raw Root Mash","Potato and celery, raw Root Mash (Central European Foods)","Potatoes|celery, raw Root|Olive Oil|Salt|Nutmeg",500.0|300.0|80.0|5.0|25.0
Central European Foods,Sweet and Sour raw turnips,Sweet and Sour raw turnips (Central European Foods),raw turnips|Sugar (table)|Vinegar/oil dressing|Salt|Olive Oil|Caraway Seeds,500.0|60.0|80.0|5.0|135.0|20.0
Central European Foods,Zucchini and Pepper Stir Fry,Zucchini and Pepper Stir Fry (Central European Foods),"Zucchini|Red Bell Pepper|onions, raw|Olive Oil|Salt and Pepper",400.0|250.0|100.0|70.0|20.0
Central European Foods,"apples-onions, raw Slaw","apples-onions, raw Slaw (Central European Foods)","apples|onions, raw|Vinegar/oil dressing|Olive Oil|Salt|Sugar (table)",400.0|200.0|60.0|60.0|5.0|35.0
Central European Foods,Roasted Fennel and Carrots,Roasted Fennel and Carrots (Central European Foods),Fennel|Carrots|Olive Oil|Salt|Black Pepper (ground),400.0|300.0|100.0|5.0|85.0
Central European Foods,Pickled Beet Salad,Pickled Beet Salad (Central European Foods),"Red beets|Vinegar/oil dressing|Sugar (table)|Salt|fresh dill|onions, raw",400.0|100.0|80.0|5.0|10.0|155.0
Central European Foods,Radish and cucumber Salad,Radish and cucumber Salad (Central European Foods),"Radish, red, small|cucumber|fresh dill|Vinegar/oil dressing|Salt|Olive Oil",300.0|300.0|10.0|30.0|5.0|55.0
Central European Foods,Potato Leek Mash,Potato Leek Mash (Central European Foods),Potatoes|Leek|Olive Oil|Salt|White Pepper,500.0|300.0|60.0|10.0|10.0
Central European Foods,Caraway Sauerkraut,Caraway Sauerkraut (Central European Foods),"Sauerkraut|Caraway Seeds|onions, raw|Olive Oil|Salt",500.0|3.0|150.0|100.0|17.0
Central European Foods,Chilled Beet and apples Salad,Chilled Beet and apples Salad (Central European Foods),Red beets|apples|Lemon Juice|Salt|Olive Oil,400.0|300.0|30.0|5.0|25.0
Central European Foods,German Cabbage Medley,German Cabbage Medley (Central European Foods),"Green Cabbage|Carrots|onions, raws|apples Cider Vinegar|Salt|Olive Oil",400.0|200.0|150.0|80.0|5.0|45.0
Central European Foods,"Potato and onions, raw Hash","Potato and onions, raw Hash (Central European Foods)","Potatoes|onions, raw|Olive Oil|Salt|Paprika",600.0|200.0|100.0|10.0|10.0
Central European Foods,Marinated Zucchini,Marinated Zucchini (Central European Foods),Zucchini|Vinegar/oil dressing|Olive Oil|Garlic|Salt|Sugar (table),500.0|60.0|60.0|20.0|5.0|65.0
Central European Foods,Carrot Parsnip Gratin,Carrot Parsnip Gratin (Central European Foods),Carrots|Parsnips|Olive Oil|Salt|Nutmeg,400.0|300.0|100.0|5.0|65.0
Central European Foods,"celery, raw and apples Slaw","celery, raw and apples Slaw (Central European Foods)","celery, raw|apples|Lemon Juice|Salt|Olive Oil",300.0|300.0|30.0|5.0|115.0
Central European Foods,"Stewed Kohlrabi, sliced, raw and Carrots","Stewed Kohlrabi, sliced, raw and Carrots (Central European Foods)","Kohlrabi, sliced, raw|Carrots|Vegetable Broth|Salt|Olive Oil",400.0|300.0|100.0|5.0|85.0
Central European Foods,Beet and cucumber Salad,Beet and cucumber Salad (Central European Foods),Red beets|cucumber|fresh dill|Vinegar/oil dressing|Salt|Olive Oil,400.0|300.0|10.0|40.0|5.0|25.0
Central European Foods,"Roasted Carrot and onions, raw","Roasted Carrot and onions, raw (Central European Foods)","Carrots|onions, raws|Olive Oil|Salt|fresh thyme",500.0|200.0|80.0|10.0|30.0
Central European Foods,"apples-onions, raw Chutney","apples-onions, raw Chutney (Central European Foods)","apples|onions, raws|Vinegar/oil dressing|Sugar (table)|Salt|Olive Oil",400.0|200.0|50.0|40.0|5.0|5.0
Central European Foods,Sauteed Red Cabbage,Sauteed Red Cabbage (Central European Foods),Red Cabbage|apples|Vinegar/oil dressing|Olive Oil|Salt|Caraway Seeds,500.0|200.0|80.0|80.0|5.0|2.0
Central European Foods,Potato-Carrot Hash,Potato-Carrot Hash (Central European Foods),"Potatoes|Carrots|onions, raws|Olive Oil|Salt|White Pepper",500.0|200.0|120.0|70.0|5.0|15.0
Central European Foods,"Pickled Kohlrabi, sliced, raw","Pickled Kohlrabi, sliced, raw (Central European Foods)","Kohlrabi, sliced, raw|Vinegar/oil dressing|Salt|Sugar (table)|Water|fresh dill",400.0|60.0|5.0|20.0|200.0|15.0
Central European Foods,Warm Sauerkraut and apples Salad,Warm Sauerkraut and apples Salad (Central European Foods),"Sauerkraut|apples|onions, raws|Olive Oil|Caraway Seeds|Salt",400.0|200.0|150.0|80.0|2.0|18.0
Central European Foods,cucumber and Fennel Salad,cucumber and Fennel Salad (Central European Foods),cucumber|Fennel|fresh dill|Lemon Juice|Salt|Olive Oil,400.0|250.0|10.0|40.0|5.0|55.0
Central European Foods,Carrot Slaw with Mustard,Carrot Slaw with Mustard (Central European Foods),Carrots|Dijon Mustard|Vinegar/oil dressing|Salt|Sugar (table)|Olive Oil,400.0|20.0|50.0|5.0|30.0|205.0
Central European Foods,Bavarian Turnip Stir-Fry,Bavarian Turnip Stir-Fry (Central European Foods),"raw turnips|onions, raws|Caraway Seeds|Salt|Pepper|Olive Oil",500.0|250.0|2.0|5.0|5.0|128.0
Central European Foods,Stewed Cabbage with Tomatoes,Stewed Cabbage with Tomatoes (Central European Foods),"Green Cabbage|Tomatoes|onions, raw|Paprika|Salt|Olive Oil",500.0|250.0|100.0|10.0|5.0|55.0
Central European Foods,Zucchini and apples Salad,Zucchini and apples Salad (Central European Foods),Zucchini|apples|Lemon Juice|Salt|fresh dill|Olive Oil,400.0|250.0|30.0|5.0|5.0|40.0
Central European Foods,Radish and apples Slaw,Radish and apples Slaw (Central European Foods),"Radish, red, small|apples|Lemon Juice|Sugar (table)|Salt|Olive Oil",300.0|300.0|30.0|20.0|5.0|35.0
Central European Foods,Potato and Sauerkraut Bake,Potato and Sauerkraut Bake (Central European Foods),"Potatoes|Sauerkraut|onions, raws|Caraway Seeds|Salt|Olive Oil",500.0|300.0|100.0|2.0|5.0|63.0
Central European Foods,Steamed Kohlrabi with Carrots,Steamed Kohlrabi with Carrots (Central European Foods),"Kohlrabi, sliced, raw|Carrots|Olive Oil|Salt and Pepper|Vegetable Broth",400.0|300.0|80.0|10.0|80.0
Central European Foods,"Fried Cabbage and onions, raws","Fried Cabbage and onions, raws (Central European Foods)","Green Cabbage|onions, raws|Olive Oil|Salt|Paprika",500.0|250.0|100.0|5.0|55.0
Central European Foods,Sweet Roasted apples,Sweet Roasted apples (Central European Foods),apples|Sugar (table)|Cinnamon|Lemon Juice|Olive Oil,500.0|80.0|2.0|30.0|138.0
Central European Foods,Swiss Turnip Gratin,Swiss Turnip Gratin (Central European Foods),"raw turnips|onions, raw|Vegan Cream (PKU-safe)|Salt|Nutmeg|Olive Oil",500.0|150.0|120.0|5.0|1.0|104.0
Central European Foods,Austrian Red Cabbage and apples,Austrian Red Cabbage and apples (Central European Foods),"Red Cabbage, raw|apples|Vinegar/oil dressing|Cloves|Bay Leaf|Olive Oil",500.0|300.0|50.0|1.0|0.2|38.8
Central European Foods,Garlic Mashed Potatoes,Garlic Mashed Potatoes (Central European Foods),Potatoes|Garlic|Olive Oil|Salt|Vegan Butter,600.0|15.0|80.0|5.0|230.0
Central European Foods,Tomato-cucumber Salad,Tomato-cucumber Salad (Central European Foods),"Tomatoes|cucumber|onions, raws|Vinegar/oil dressing|Salt|Olive Oil",300.0|300.0|100.0|20.0|5.0|15.0
Central European Foods,Rustic Cabbage Stew,Rustic Cabbage Stew (Central European Foods),"Green Cabbage|Potatoes|onions, raws|Caraway Seeds|Paprika|Salt|Vegetable Broth",400.0|200.0|200.0|2.0|10.0|5.0|143.0
Central European Foods,Spiced apples Slaw,Spiced apples Slaw (Central European Foods),apples|Lemon Juice|Cinnamon|Sugar (table)|Salt|Olive Oil,500.0|20.0|2.0|40.0|5.0|153.0
Central European Foods,Roasted Garlic Red beets,Roasted Garlic Red beets (Central European Foods),Red beets|Garlic|Olive Oil|Salt|Pepper|Vinegar/oil dressing,500.0|15.0|80.0|5.0|5.0|195.0
Central European Foods,Mustard Potato Salad,Mustard Potato Salad (Central European Foods),"Potatoes|Dijon Mustard|onions, raw|Vinegar/oil dressing|Salt|Olive Oil",600.0|30.0|120.0|50.0|5.0|125.0
Central European Foods,Hungarian Cabbage and Peppers,Hungarian Cabbage and Peppers (Central European Foods),"Cabbage|Bell Peppers|onions, raw|Paprika|Salt|Olive Oil",400.0|300.0|150.0|10.0|5.0|45.0
Central European Foods,"Pickled Red onions, raws","Pickled Red onions, raws (Central European Foods)","onions, raws|Vinegar/oil dressing|Sugar (table)|Salt|Bay Leaf|Cloves",400.0|100.0|80.0|5.0|0.2|0.3
Central European Foods,celery Root and apples Puree,celery Root and apples Puree (Central European Foods),celery root|apples|Vegan Butter|Salt|Lemon Juice,500.0|300.0|50.0|5.0|15.0
Central European Foods,Fried Turnip Cakes,Fried Turnip Cakes (Central European Foods),"raw turnips|onions, raw|Olive Oil|Salt|Pepper|Flour, cake",500.0|200.0|80.0|5.0|5.0|110.0
Central European Foods,Steamed Green Beans and Carrots,Steamed Green Beans and Carrots (Central European Foods),Green Beans|Carrots|Olive Oil|Salt|Lemon Zest,400.0|300.0|100.0|5.0|55.0
Central European Foods,Zucchini and Potato R̦sti,Zucchini and Potato R̦sti (Central European Foods),"Zucchini|Potatoes|onions, raw|Olive Oil|Salt|White Pepper",400.0|300.0|100.0|50.0|10.0|10.0
Central European Foods,Fried Sauerkraut with Apples,Fried Sauerkraut with Apples (Central European Foods),"Sauerkraut|Apples|onions, raw|Olive Oil|Caraway Seeds|Salt|Sugar",500.0|250.0|100.0|50.0|2.0|3.0|15.0
Chinese Foods,Sweet and Sour Vegetables,Sweet and Sour Vegetables (Chinese Foods),Pineapple|Red bell pepper|Green bell pepper|Carrots|Cornstarch|Rice vinegar|Sugar,100.0|80.0|80.0|60.0|10.0|15.0|15.0
Chinese Foods,Vegetable Low-Protein Fried Rice,Vegetable Low-Protein Fried Rice (Chinese Foods),Low-protein rice|Peas|Carrots|Garlic|Sesame oil,300.0|60.0|60.0|20.0|10.0
Chinese Foods,Steamed Eggplant,Steamed Eggplant (Chinese Foods),Eggplant|Garlic|Rice vinegar,200.0|5.0|10.0
Chinese Foods,Cabbage and Apple Slaw,Cabbage and Apple Slaw (Chinese Foods),"Chinese cabbage (Pak-choi), raw|Apple|Carrots|Rice vinegar|Sugar|Salt & Pepper",150.0|100.0|50.0|15.0|10.0|5.0
Chinese Foods,Low-Protein Dumplings,Low-Protein Dumplings (Chinese Foods),"Low-protein flour|Chinese cabbage (Pak-choi), raw|Chives|Garlic|Sesame oil",80.0|100.0|10.0|5.0|5.0
Chinese Foods,Stir-Fried Peas,Stir-Fried Peas (Chinese Foods),Peas|Ginger|Garlic|Sesame oil,150.0|5.0|5.0|5.0
Chinese Foods,Pumpkin Congee,Pumpkin Congee (Chinese Foods),Low-protein rice|Pumpkin|Sugar|Salt & Pepper,60.0|150.0|5.0|5.0
Chinese Foods,Garlic Bok Choy Stir-Fry,Garlic Bok Choy Stir-Fry (Chinese Foods),Baby bok choy|Oil|Garlic|Salt|White pepper|Sugar,450.0|28.0|15.0|1.5|0.75|0.5
Chinese Foods,Braised Daikon with Shitake Mushrooms,Braised Daikon with Shitake Mushrooms (Chinese Foods),"Shiitake mushrooms, dried|water|Oil, vegetable|Ginger, raw|Daikon|Star anise|Bay leaf|soy sauce|Cornstarch|scallion greens",15.0|360.0|14.0|10.0|565.0|1.0|0.2|10.0|3.0|6.0
Chinese Foods,Spicy Pickled Napa Cabbage (Simple Kimchi-style),Spicy Pickled Napa Cabbage (Simple Kimchi-style) (Chinese Foods),"Chinese cabbage (Pak-choi), raw|kosher salt|garlic|ginger|Korean red pepper flakes|water|daikon|scallion greens|sugar",1100.0|72.0|15.0|5.0|17.0|45.0|225.0|60.0|4.0
Chinese Foods,Vegetarian Winter Melon Soup,Vegetarian Winter Melon Soup (Chinese Foods),Water|Scallions|Cilantro|Ginger|Garlic|White pepper|Winter melon|dried shiitake mushrooms|Soy sauce|Salt,960.0|30.0|10.0|10.0|3.0|1.0|680.0|10.0|5.0|1.5
Chinese Foods,Dry-Fried Green Beans,Dry-Fried Green Beans (Chinese Foods),Green beans|Salt|Oil|Garlic|Dried red chili peppers|preserved vegetables|wine|Soy sauce|Sugar|Sesame oil,450.0|3.0|28.0|6.0|2.0|25.0|5.0|7.5|0.5|4.5
Chinese Foods,Lotus Root Stir-Fry,Lotus Root Stir-Fry (Chinese Foods),Lotus root|Wood ear mushrooms|Red bell pepper|Vegetable Broth|Salt|Sugar|White pepper|Oil|Ginger|Garlic|Scallions|Wine|Cornstarch|Water,340.0|40.0|75.0|60.0|2.5|1.0|0.3|28.0|10.0|6.0|20.0|15.0|6.0|15.0
Chinese Foods,Stir Fry Bean Sprouts and Garlic Chives,Stir Fry Bean Sprouts and Garlic Chives (Chinese Foods),Vegetable oil|Bean sprouts|Garlic chives|Salt,28.0|180.0|30.0|1.5
Chinese Foods,Chinese Cucumber Salad ,Chinese Cucumber Salad  (Chinese Foods),Japanese/Lebanese cucumbers|Garlic|Thai chili|Rice vinegar|Water|Sugar|Salt,350.0|9.0|2.0|60.0|15.0|25.0|9.0
Chinese Foods,Braised Kabocha Squash,Braised Kabocha Squash (Chinese Foods),"Kabocha squash (roasted, chopped)|Olive oil|ginger|scallion greens|garlic|Water|sugar|soy sauce|wine|Rice vinegar|chili flakes|sesame oil",600.0|14.0|10.0|20.0|18.0|60.0|50.0|80.0|60.0|15.0|6.0|14.0
Chinese Foods,Yu Choy Sum,Yu Choy Sum (Chinese Foods),choy sum|Canola oil|soy sauce|Sesame oil|Ground white pepper,450.0|28.0|15.0|2.5|0.3
Chinese Foods,Stir-Fried Celery & Wood Ear Mushrooms,Stir-Fried Celery & Wood Ear Mushrooms (Chinese Foods),wood ear mushrooms|celery|Red bell pepper|Vegetable broth|Salt|Sugar|wine|Vegetable oil|Ginger|Dried chili peppers|Garlic|Cornstarch|Water,40.0|150.0|55.0|80.0|1.5|1.0|15.0|28.0|8.0|2.0|9.0|6.0|15.0
Chinese Foods,Chayote Stir-Fry with Garlic,Chayote Stir-Fry with Garlic (Chinese Foods),"Chayote, cooked|Canola oil|Shallots, chopped|Garlic|Ginger, raw|Vegetable Broth|salt",600.0|21.0|35.0|6.0|6.0|300.0|2.5
Chinese Foods,Chinese-Style Steamed Zucchini,Chinese-Style Steamed Zucchini (Chinese Foods),Zucchini|soy sauce|vinegar|Sesame oil|Canola oil|sugar|Garlic|Scallions|Chili oil|Cilantro,800.0|60.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Zucchini with Garlic Sauce,Stir-Fried Zucchini with Garlic Sauce (Chinese Foods),Zucchini|soy sauce|Chinese black vinegar|Sesame oil|Canola oil|sugar|Garlic|Scallions|Chili oil|Cilantro,800.0|60.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Cucumber with Garlic Sauce,Stir-Fried Cucumber with Garlic Sauce (Chinese Foods),Cucumber|soy sauce|Chinese black vinegar|Sesame oil|Canola oil|sugar|Garlic|Sesame seeds|Scallions|Chili oil|Cilantro,700.0|60.0|15.0|28.0|28.0|12.0|12.0|6.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Tomato with Garlic Sauce,Stir-Fried Tomato with Garlic Sauce (Chinese Foods),Tomato|soy sauce|Chinese black vinegar|Sesame oil|Canola oil|sugar|Garlic|Scallions|Chili oil|Cilantro,600.0|60.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Daikon Radish with Garlic Sauce,Stir-Fried Daikon Radish with Garlic Sauce (Chinese Foods),Daikon|soy sauce|Chinese black vinegar|Sesame oil|Canola oil|sugar|Garlic|Scallions|Chili oil|Cilantro,700.0|60.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Winter Melon with Garlic Sauce,Stir-Fried Winter Melon with Garlic Sauce (Chinese Foods),Winter Melon|soy sauce|Chinese black vinegar|Sesame oil|Canola oil|sugar|Garlic|Scallions|Chili oil|Cilantro,750.0|60.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Chayote with Garlic Sauce,Stir-Fried Chayote with Garlic Sauce (Chinese Foods),"Chayote, cooked|soy sauce|Chinese black vinegar|Sesame oil|Canola oil|sugar|Garlic|Scallions|Chili oil|Cilantro",700.0|60.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Napa Cabbage with Garlic Sauce,Stir-Fried Napa Cabbage with Garlic Sauce (Chinese Foods),Napa Cabbage|soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,850.0|60.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Green Cabbage with Garlic Sauce,Stir-Fried Green Cabbage with Garlic Sauce (Chinese Foods),Green Cabbage|soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,800.0|60.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
