Meal,Serving Size (g),Ingredient,Grams,Number of Ingredients,Meal Type
Fagioli all'Uccelletto,350,Cannellini beans (small amount),100,5,LD
,,Sage,10,,
,,Garlic,30,,
,,Olive oil,30,,
,,Tomato sauce,50,,
,,Onion,30,,
Insalata di Carote,200,Carrots,150,3,LD
,,Lemon juice,20,,
,,Olive oil,30,,
Zucchine al Forno,300,Zucchini,250,2,BS
,,Olive oil,30,,
Patate e Cipolle,300,Potatoes,200,3,LD
,,Onions,70,,
,,Olive oil,30,,
Fave e Cicoria,350,Fava beans,100,4,LD
,,Chicory,150,,
,,Olive oil,50,,BS
Spinaci Saltati,300,Spinach,250,2,
,,Olive oil,30,,
Pomodori Ripieni (without cheese),300,Tomatoes,250,3,LD
,,Breadcrumbs,30,,
,,Olive oil,20,,
Insalata di Radicchio e Arance,250,Radicchio,150,4,BS
,,Oranges,60,,
,,Olive oil,20,,
,,Balsamic vinegar,20,,LD
Broccoli al Forno,300,Broccoli,270,2,
,,Olive oil,30,,
Carciofi alla Giudia,300,Artichokes,270,2,LD
,,Olive oil,30,,
Insalata di Finocchi e Arance,250,Fennel,150,3,BS
,,Oranges,80,,
,,Olive oil,20,,
Cavolfiore al Forno,300,Cauliflower,270,2,LD
,,Olive oil,30,,
Cicoria Lessata,300,Boiled chicory,270,2,LD
,,Olive oil,30,,
Insalata di Pomodorini,200,Cherry tomatoes,150,3,BS
,,Basil,30,,
,,Olive oil,20,,
Funghi trifolati,300,Mushrooms,250,3,LD
,,Garlic,20,,
,,Olive oil,30,,
Insalata di Cetrioli e Menta,200,Cucumbers,150,3,BS
,,Mint,30,,
,,Olive oil,20,,
Finocchi al Forno,300,Fennel,250,3,LD
,,Olive oil,30,,
,,Lemon juice,20,,
Carciofi alla Romana,300,Artichokes,250,4,LD
,,Garlic,20,,
,,Olive oil,30,,
,,Parsley,20,,
Insalata di Carote e Limone,200,Carrots,150,3,BS
,,Lemon juice,30,,
,,Olive oil,20,,
Zucchine Ripiene (without cheese),300,Zucchini,250,3,LD
,,Breadcrumbs,30,,
,,Olive oil,20,,
Carciofi Grigliati,300,Artichokes,250,2,LD
,,Olive oil,30,,
Funghi al Forno,300,Mushrooms,250,3,LD
,,Garlic,20,,
,,Olive oil,30,,
Patate e Rosmarino,300,Potatoes,250,3,LD
,,Olive oil,30,,
,,Rosemary,20,,
Cavolfiore Gratinate,300,Cauliflower,270,3,LD
,,Olive oil,30,,
,,Breadcrumbs,20,,
Finocchi al Limone,300,Fennel,250,3,BS
,,Lemon juice,30,,
,,Olive oil,20,,
