Meal,Serving Size (g),Ingredient,Weight (g),Ingredients #,Meal Type
Tamarind Juice,300,Tamarind pulp,50,2,BS
,,Water,250,,
Watermelon Salad,250,Watermelon,200,3,BS
,,Mint leaves,30,,
,,Lime juice,20,,
Baobab Leaf Stew (no meat),350,Baobab leaves,250,3,LD
,,Onion,50,,
,,Palm oil,50,,
Roasted Yam,300,Yam,280,1,LD
,,Oil,20,,
Steamed Waterleaf,300,Waterleaf,270,2,BS
,,Oil,30,,
Cassava Leaf Soup (no meat),350,Cassava leaves,250,4,LD
,,Tomatoes,50,,
,,Onion,30,,
,,Palm oil,20,,
Baobab Fruit Smoothie,300,Baobab fruit powder,40,3,BS
,,Bananass,150,,
,,Water,110,,
Sweet Potato Leaves Soup,350,Sweet potato leaves,250,4,LD
,,Tomato,50,,
,,Onion,30,,
,,Palm oil,20,,
,,Yeast,10,,
Okra Salad,250,Okra,150,3,BS
,,Tomato,50,,
,,Olive oil,30,,
Baobab Leaf Salad,250,Baobab leaves,180,3,LD
,,Lemon juice,30,,
,,Olive oil,20,,
Millet Stew (without meat),350,Low-protein flour,320,3,LD
,,Tomato,20,,
,,Water,10,,
Roasted Garden Eggplant,300,African eggplants,270,2,LD
,,Olive oil,30,,
Flatbread,250,Low-protein flour,220,3,LD
,,Water,20,,
,,Salt,10,,
Mashed Pumpkin,300,Pumpkin,280,2,LD
,,Olive oil,20,,
Cooked Waterleaf,300,Waterleaf,270,2,LD
,,Palm oil,30,,
Boiled Sweet Cassava,300,Cassava,280,2,BS
,,Salt,20,,
Okra and Tomato Soup,350,Okra,250,4,LD
,,Tomato,50,,
,,Onion,30,,
,,Palm oil,20,,
Steamed Green Beans,300,Green beans,270,2,BS
,,Olive oil,30,,
Roasted Sweet Potatoes,300,Sweet potatoes,270,2,BS
,,Olive oil,30,,
Baobab Leaf Juice,300,Baobab leaves,200,3,BS
,,Water,80,,
,,Lemon juice,20,,
Rice and Beans (low-protein beans or substituted),350,Low-protein beans,150,4,LD
,,Rice,150,,
,,Tomatoes,30,,
,,Oil,20,,
Ugali with Vegetable Stew,350,Low-protein flour,200,5,LD
,,Mixed vegetables,100,,
,,Tomato,20,,
,,Onion,20,,
,,Oil,10,,
Millet and Spinach Stew,350,Low-protein flour,200,4,LD
,,Spinach,100,,
,,Onion,30,,
,,Oil,20,,
Porridge with Baobab,350,Low-protein flour,300,3,BS
,,Baobab fruit powder,30,,
,,Water,20,,
Plantain and Tomato Salad,250,Plantain,150,3,LD
,,Tomato,70,,
,,Lemon juice,30,,
Cassava Leaf and Pumpkin Soup,350,Cassava leaves,200,4,LD
,,Pumpkin,100,,
,,Onion,30,,
,,Palm oil,20,,
Roasted Maize with Chili,250,Maize,230,3,LD
,,Chili,10,,
,,Salt,10,,
Okra and Eggplant Stew,350,Okra,200,4,LD
,,Eggplant,100,,
,,Tomato,30,,
,,Oil,20,,
Sweet Potato and Peanut Soup (using low-protein peanut substitute),350,Sweet potato,250,4,LD
,,Low-protein peanut substitute,30,,
,,Tomato,40,,
,,Oil,30,,
Steamed Waterleaf with Tomatoes,300,Waterleaf,250,3,LD
,,Tomato,30,,
,,Oil,20,,
Millet Flatbread with Veggies,250,Low-protein flour,200,4,LD
,,Mixed vegetables,30,,
,,Water,20,,
,,Oil,20,,
