Meal,Serving size(g),Ingredient,Grams,Number of Ingredients
,,basil,47,
citrus herb carrot ribbons,272,carrot,117,
,,orange,61,
,,olive oil,19,
,,parsley,36,
,,lemon,39,
grilled zucchini and tomato platter,291,zucchini,104,
,,tomato,84,
,,olive oil,22,
,,garlic,49,
,,basil,32,
chilled tomato and watermelon soup,296,tomato,98,
,,watermelon,86,
,,cucumber,44,
,,lemon juice,39,
,,mint,29,
olive oil roasted turnips,274,turnip,116,
,,olive oil,21,
,,garlic,44,
,,lemon juice,38,
,,thyme,55,
date and coconut rolls,251,date paste,121,
,,coconut,53,
,,cinnamon,6,
,,orange,41,
,,maple syrup,30,
baked zucchini fries,267,zucchini,102,
,,olive oil,19,
,,garlic powder,6,
,,lemon,38,
,,rice flour,45,
,,paprika,57,
apricot and orange salad,255,apricot,65,
,,orange,67,
,,mint,29,
,,lemon,38,
,,maple syrup,56,
carrot and orange smoothie,291,carrot,96,
,,orange,84,
,,date paste,52,
,,water,59,
grilled eggplant with lemon tahini,297,eggplant,103,
,,tahini,14,
,,lemon juice,51,
,,olive oil,22,
,,garlic,46,
,,parsley,61,
lemon herb roasted artichokes ,285,artichoke,111,
,,lemon juice,53,
,,olive oil,21,
,,garlic,42,
,,thyme,58,
fresh fig and mint salad,269,fig,103,
,,mint,36,
,,lemon juice,44,
,,arugula,56,
,,olive oil,30,
roasted red pepper puree,260,pepper,118,
,,garlic,47,
,,olive oil,21,
,,lemon,39,
,,basil,35,
stewed zucchini with tomato,288,zucchini,113,
,,tomato,83,
,,onion,49,
,,olive oil,21,
,,garlic,22,
grape and mint fruit bowl,263,grapes,198,
,,mint,25,
,,lemon juice,40,
olive oil and lemon roasted carrots,276,carrots,117,
,,olive oil,22,
,,lemon juice,44,
,,parsley,47,
,,garlic,46,
chilled citrus melon soup,293,melon,116,
,,orange ,71,
,,lemon,49,
,,mint,24,
,,water,33,
cinnamon date pudding,289,date paste,109,
,,rice milk,83,
,,cinnamon,6,
,,cornstarch,43,
,,maple syrup,48,
stewed zucchini with tomato,288,zucchini,113,
,,tomato,83,
,,onion,49,
,,olive oil,21,
,,garlic,22,
grape and mint fruit bowl,263,,,
,,red grapes,96,
,,mint,25,
,,lemon juice,40,
olive oil and lemon roasted carrots,276,,,
,,olive oil,22,
,,lemon juice,44,
,,parsley,47,
,,garlic,46,
chilled citrus melon soup,293,melon,116,
,,orange,71,
,,lemon,49,
,,mint,24,
,,water,33,
cinnamon date pudding,289,date paste,109,
,,rice milk,83,
,,cinnamon,6,
,,cornstarch,43,
,,maple syrup,48,
grilled fennel and orange salad,278,fennel,103,
,,orange,89,
,,olive oil,28,
,,lemon juice,34,
,,dill,24,
cucumber yogurt dip,275,cucumber,88,
,,rice yogurt,91,
,,mint,23,
,,lemon juice,34,
,,garlic,39,
lemony lentil-free tabbouleh,296,cauliflower rice,97,
,,parsley,64,
,,tomato,52,
,,cucumber,47,
,,lemon juice,36,
roasted fig and walnut bites,271,fig,107,
,,walnut,18,
,,maple syrup,43,
,,cinnamon,7,
,,lemon zest,31,
garlic sautéed greens,260,spinach,92,
,,olive oil,26,
,,garlic,33,
,,lemon juice,31,
,,chard,78,
baked spiced apple slices,281,apple,111,
,,cinnamon,7,
,,maple syrup,46,
,,lemon juice,39,
,,clove,16,
beet and orange salad,287,beet,103,
,,orange,89,
,,olive oil,29,
,,mint,33,
,,lemon juice,33,
roasted zucchini boats,292,zucchini,121,
,,tomato,84,
,,olive oil,26,
,,basil,34,
,,garlic,27,
date and almond energy bites,265,date paste,101,
,,almond ,16,
,,coconut ,39,
,,maple syrup,49,
,,cinnamon,60,
lemon basil quinoa-free pilaf,270,cauliflower rice,113,
,,basil,47,
,,olive oil,28,
,,lemon juice,42,
,,garlic,40,
baba ghanoush-style eggplant mash,276,eggplant,116,
,,olive oil,31,
,,lemon juice,38,
,,garlic,48,
,,parsley,43,
grilled peach and mint salad,283,peach,109,
,,mint,33,
,,lemon juice,47,
,,olive oil,33,
,,arugula,61,
stuffed grape leaves (no rice),291,cabbage,99,
,,cauliflower rice,93,
,,lemon juice,34,
,,olive oil,29,
,,dill,36,
chickpea-free hummus,270,zucchini,108,
,,tahini,14,
,,lemon juice,41,
,,garlic,43,
,,olive oil,64,
carrot and date salad,280,carrot,104,
,,date,91,
,,lemon juice,38,
,,mint,27,
,,olive oil,20,
fig and olive tapenade,268,fig,97,
,,olives,22,
,,olive oil,29,
,,garlic,41,
,,lemon juice,79,
,,,,
,,,,
81,,,,
